date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2020-01-23,Djibouti,11.8251,42.5903,0,0,0,0,0.0,0.0,9.88002
2020-01-23,Dominica,15.415,-61.371,0,0,0,0,0.0,0.0,0.71991
2020-01-23,Dominican Republic,18.7357,-70.1627,0,0,0,0,0.0,0.0,108.47903
2020-01-23,Ecuador,-1.8312,-78.1834,0,0,0,0,0.0,0.0,176.4306
2020-01-23,Egypt,26.0,30.0,0,0,0,0,0.0,0.0,1023.34403
2020-01-23,El Salvador,13.7942,-88.8965,0,0,0,0,0.0,0.0,64.86201
2020-01-23,Equatorial Guinea,1.5,10.0,0,0,0,0,0.0,0.0,14.02985
2020-01-23,Eritrea,15.1794,39.7823,0,0,0,0,0.0,0.0,35.46427
2020-01-23,Estonia,58.5953,25.0136,0,0,0,0,0.0,0.0,13.26539
2020-01-23,Eswatini,-26.5225,31.4659,0,0,0,0,0.0,0.0,11.60164
2020-01-23,Ethiopia,9.145,40.4897,0,0,0,0,0.0,0.0,1149.63583
2020-01-23,Fiji,-17.7134,178.065,0,0,0,0,0.0,0.0,8.96444
2020-01-23,Finland,64.0,26.0,0,0,0,0,0.0,0.0,55.40718
2020-01-23,France,46.2276,2.2137,0,0,0,0,0.0,0.0,652.73512
2020-01-23,Gabon,-0.8037,11.6094,0,0,0,0,0.0,0.0,22.25728
2020-01-23,Gambia,13.4432,-15.3101,0,0,0,0,0.0,0.0,24.16663
2020-01-23,Georgia,42.3154,43.3569,0,0,0,0,0.0,0.0,39.89175
2020-01-23,Germany,51.0,9.0,0,0,0,0,0.0,0.0,837.83945
2020-01-23,Ghana,7.9465,-1.0232,0,0,0,0,0.0,0.0,310.72945
2020-01-23,Greece,39.0742,21.8243,0,0,0,0,0.0,0.0,104.23056
2020-01-23,Grenada,12.1165,-61.678999999999995,0,0,0,0,0.0,0.0,1.12518
2020-01-23,Guatemala,15.7835,-90.2308,0,0,0,0,0.0,0.0,179.15567
2020-01-23,Guinea,9.9456,-9.6966,0,0,0,0,0.0,0.0,131.32792
2020-01-23,Guinea-Bissau,11.8037,-15.1804,0,0,0,0,0.0,0.0,19.67997
2020-01-23,Guyana,5.0,-58.75,0,0,0,0,0.0,0.0,7.86559
2020-01-23,Haiti,18.9712,-72.2852,0,0,0,0,0.0,0.0,114.02533
2020-01-23,Holy See,41.9029,12.4534,0,0,0,0,0.0,0.0,0.00809
2020-01-23,Honduras,15.2,-86.2419,0,0,0,0,0.0,0.0,99.04608
2020-01-23,Hungary,47.1625,19.5033,0,0,0,0,0.0,0.0,96.6035
2020-01-23,Iceland,64.9631,-19.0208,0,0,0,0,0.0,0.0,3.4125
2020-01-23,India,21.0,78.0,0,0,0,0,0.0,0.0,13800.04385
2020-01-23,Indonesia,-0.7893,113.9213,0,0,0,0,0.0,0.0,2735.23621
2020-01-23,Iran,32.0,53.0,0,0,0,0,0.0,0.0,839.92953
2020-01-23,Iraq,33.0,44.0,0,0,0,0,0.0,0.0,402.22503
2020-01-23,Ireland,53.1424,-7.6921,0,0,0,0,0.0,0.0,49.37795
2020-01-23,Israel,31.0,35.0,0,0,0,0,0.0,0.0,86.55541
2020-01-23,Italy,43.0,12.0,0,0,0,0,0.0,0.0,604.61828
2020-01-23,Jamaica,18.1096,-77.2975,0,0,0,0,0.0,0.0,29.6116
2020-01-23,Japan,36.0,138.0,2,0,0,2,100.0,100.0,1264.76458
2020-01-23,Jordan,31.24,36.51,0,0,0,0,0.0,0.0,102.0314
2020-01-23,Kazakhstan,48.0196,66.9237,0,0,0,0,0.0,0.0,187.76707
2020-01-23,Kenya,-0.0236,37.9062,0,0,0,0,0.0,0.0,537.713
2020-01-23,Kosovo,42.602636,20.902977,0,0,0,0,0.0,0.0,18.45
2020-01-23,Kuwait,29.5,47.75,0,0,0,0,0.0,0.0,42.70563
2020-01-23,Kyrgyzstan,41.2044,74.7661,0,0,0,0,0.0,0.0,65.24191
2020-01-23,Laos,19.856270000000002,102.495496,0,0,0,0,0.0,0.0,72.75556
2020-01-23,Latvia,56.8796,24.6032,0,0,0,0,0.0,0.0,18.86202
2020-01-23,Lebanon,33.8547,35.8623,0,0,0,0,0.0,0.0,68.25441
2020-01-23,Lesotho,-29.609988,28.233608,0,0,0,0,0.0,0.0,21.42252
