date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-04-09,Manitoba,221,3,0,53.7609,-98.8139,218
2020-04-09,New Brunswick,108,0,0,46.5653,-66.4619,108
2020-04-09,Nova Scotia,342,1,0,44.682,-63.7443,341
2020-04-09,Ontario,5759,200,0,51.2538,-85.3232,5559
2020-04-09,Quebec,10912,216,0,52.9399,-73.5491,10696
2020-04-09,Saskatchewan,271,3,0,52.9399,-106.4509,268
2020-04-09,Yukon,7,0,0,64.2823,-135.0,7
2020-04-10,Alberta,1451,32,0,53.9333,-116.5765,1419
2020-04-10,Manitoba,230,3,0,53.7609,-98.8139,227
2020-04-10,New Brunswick,112,0,0,46.5653,-66.4619,112
2020-04-10,Nova Scotia,407,2,0,44.682,-63.7443,405
2020-04-10,Ontario,6237,222,0,51.2538,-85.3232,6015
2020-04-10,Quebec,11677,241,0,52.9399,-73.5491,11436
2020-04-10,Saskatchewan,285,3,0,52.9399,-106.4509,282
2020-04-10,Yukon,8,0,0,64.2823,-135.0,8
2020-04-11,Alberta,1567,40,0,53.9333,-116.5765,1527
2020-04-11,Manitoba,243,4,0,53.7609,-98.8139,239
2020-04-11,New Brunswick,112,0,0,46.5653,-66.4619,112
2020-04-11,Nova Scotia,428,2,0,44.682,-63.7443,426
2020-04-11,Ontario,6648,253,0,51.2538,-85.3232,6395
2020-04-11,Quebec,12292,289,0,52.9399,-73.5491,12003
2020-04-11,Saskatchewan,289,4,0,52.9399,-106.4509,285
2020-04-11,Yukon,8,0,0,64.2823,-135.0,8
2020-04-12,Alberta,1567,40,0,53.9333,-116.5765,1527
2020-04-12,Manitoba,242,4,0,53.7609,-98.8139,238
2020-04-12,New Brunswick,114,0,0,46.5653,-66.4619,114
2020-04-12,Nova Scotia,445,2,0,44.681999999999995,-63.7443,443
2020-04-12,Ontario,7049,274,0,51.2538,-85.3232,6775
2020-04-12,Quebec,12846,328,0,52.9399,-73.5491,12518
2020-04-12,Saskatchewan,298,4,0,52.9399,-106.4509,294
2020-04-12,Yukon,8,0,0,64.2823,-135.0,8
2020-04-13,Alberta,1732,46,0,53.9333,-116.5765,1686
2020-04-13,Manitoba,246,4,0,53.7609,-98.8139,242
2020-04-13,New Brunswick,116,0,0,46.5653,-66.4619,116
